芭贰老磊,芭贰矫埃,瘤开,楷丰盔,惯傈樊(MWh)
2023-12-11,21,腊瘤,浅仿,712.395493
2023-12-11,22,腊瘤,浅仿,736.700938
2023-12-11,23,腊瘤,浅仿,776.38256
2023-12-11,24,腊瘤,浅仿,905.776231
2023-12-12,1,腊瘤,浅仿,864.082119
2023-12-12,2,腊瘤,浅仿,837.872739
2023-12-12,3,腊瘤,浅仿,833.592954
2023-12-12,4,腊瘤,浅仿,835.275568
2023-12-12,5,腊瘤,浅仿,752.555961
2023-12-12,6,腊瘤,浅仿,671.148932
2023-12-12,7,腊瘤,浅仿,649.080946
2023-12-12,8,腊瘤,浅仿,560.881372
2023-12-12,9,腊瘤,浅仿,560.53463
2023-12-12,10,腊瘤,浅仿,570.821423
2023-12-12,11,腊瘤,浅仿,478.628092
2023-12-12,12,腊瘤,浅仿,379.897949
2023-12-12,13,腊瘤,浅仿,305.232464
2023-12-12,14,腊瘤,浅仿,232.803558
2023-12-12,15,腊瘤,浅仿,190.296187
2023-12-12,16,腊瘤,浅仿,187.844777
2023-12-12,17,腊瘤,浅仿,228.422443
2023-12-12,18,腊瘤,浅仿,185.170937
2023-12-12,19,腊瘤,浅仿,139.145501
2023-12-12,20,腊瘤,浅仿,110.564951
2023-12-12,21,腊瘤,浅仿,98.746034
2023-12-12,22,腊瘤,浅仿,87.751872
2023-12-12,23,腊瘤,浅仿,82.258737
2023-12-12,24,腊瘤,浅仿,72.25355
2023-12-13,1,腊瘤,浅仿,76.360971
2023-12-13,2,腊瘤,浅仿,84.527246
2023-12-13,3,腊瘤,浅仿,96.246941
2023-12-13,4,腊瘤,浅仿,110.896386
2023-12-13,5,腊瘤,浅仿,143.278324
2023-12-13,6,腊瘤,浅仿,166.202521
2023-12-13,7,腊瘤,浅仿,141.997774
2023-12-13,8,腊瘤,浅仿,134.929932
2023-12-13,9,腊瘤,浅仿,119.981334
2023-12-13,10,腊瘤,浅仿,109.779869
2023-12-13,11,腊瘤,浅仿,72.842582
2023-12-13,12,腊瘤,浅仿,39.836842
2023-12-13,13,腊瘤,浅仿,21.888933
2023-12-13,14,腊瘤,浅仿,25.418224
2023-12-13,15,腊瘤,浅仿,24.173353
2023-12-13,16,腊瘤,浅仿,19.362618
2023-12-13,17,腊瘤,浅仿,28.771552
2023-12-13,18,腊瘤,浅仿,56.243747
2023-12-13,19,腊瘤,浅仿,100.865268
2023-12-13,20,腊瘤,浅仿,149.882117
2023-12-13,21,腊瘤,浅仿,205.807929
2023-12-13,22,腊瘤,浅仿,206.809322
2023-12-13,23,腊瘤,浅仿,240.944222
2023-12-13,24,腊瘤,浅仿,327.786605
2023-12-14,1,腊瘤,浅仿,357.81565
2023-12-14,2,腊瘤,浅仿,305.034329
2023-12-14,3,腊瘤,浅仿,295.1782
2023-12-14,4,腊瘤,浅仿,297.339872
2023-12-14,5,腊瘤,浅仿,316.8877
2023-12-14,6,腊瘤,浅仿,348.967682
2023-12-14,7,腊瘤,浅仿,401.846728
2023-12-14,8,腊瘤,浅仿,389.147693
2023-12-14,9,腊瘤,浅仿,371.361763
2023-12-14,10,腊瘤,浅仿,444.642383
2023-12-14,11,腊瘤,浅仿,428.160977
2023-12-14,12,腊瘤,浅仿,417.632257
2023-12-14,13,腊瘤,浅仿,387.215604
2023-12-14,14,腊瘤,浅仿,351.835269
2023-12-14,15,腊瘤,浅仿,361.534584
2023-12-14,16,腊瘤,浅仿,446.401825
2023-12-14,17,腊瘤,浅仿,529.932057
2023-12-14,18,腊瘤,浅仿,515.811663
2023-12-14,19,腊瘤,浅仿,626.092348
2023-12-14,20,腊瘤,浅仿,612.309299
2023-12-14,21,腊瘤,浅仿,580.257888
2023-12-14,22,腊瘤,浅仿,513.148609
2023-12-14,23,腊瘤,浅仿,427.689921
2023-12-14,24,腊瘤,浅仿,474.730867
2023-12-15,1,腊瘤,浅仿,474.581083
2023-12-15,2,腊瘤,浅仿,447.820467
2023-12-15,3,腊瘤,浅仿,371.73151
2023-12-15,4,腊瘤,浅仿,364.988438
2023-12-15,5,腊瘤,浅仿,361.073464
2023-12-15,6,腊瘤,浅仿,384.253279
2023-12-15,7,腊瘤,浅仿,329.453218
2023-12-15,8,腊瘤,浅仿,303.843414
2023-12-15,9,腊瘤,浅仿,220.475662
2023-12-15,10,腊瘤,浅仿,328.119383
2023-12-15,11,腊瘤,浅仿,381.208196
2023-12-15,12,腊瘤,浅仿,417.535791
2023-12-15,13,腊瘤,浅仿,446.184655
2023-12-15,14,腊瘤,浅仿,477.158397
2023-12-15,15,腊瘤,浅仿,387.430863
2023-12-15,16,腊瘤,浅仿,339.12651
2023-12-15,17,腊瘤,浅仿,331.086463
2023-12-15,18,腊瘤,浅仿,444.957025
2023-12-15,19,腊瘤,浅仿,468.217607
2023-12-15,20,腊瘤,浅仿,462.543224
2023-12-15,21,腊瘤,浅仿,441.403433
2023-12-15,22,腊瘤,浅仿,383.604558
2023-12-15,23,腊瘤,浅仿,387.215108
2023-12-15,24,腊瘤,浅仿,427.405408
2023-12-16,1,腊瘤,浅仿,458.760544
2023-12-16,2,腊瘤,浅仿,496.894673
2023-12-16,3,腊瘤,浅仿,567.068622
2023-12-16,4,腊瘤,浅仿,638.968393
2023-12-16,5,腊瘤,浅仿,776.957601
2023-12-16,6,腊瘤,浅仿,843.305579
2023-12-16,7,腊瘤,浅仿,866.664028
2023-12-16,8,腊瘤,浅仿,882.343809
2023-12-16,9,腊瘤,浅仿,873.608061
2023-12-16,10,腊瘤,浅仿,953.47659
2023-12-16,11,腊瘤,浅仿,951.424241
2023-12-16,12,腊瘤,浅仿,897.421189
2023-12-16,13,腊瘤,浅仿,833.780224
2023-12-16,14,腊瘤,浅仿,789.19998
2023-12-16,15,腊瘤,浅仿,779.521651
2023-12-16,16,腊瘤,浅仿,801.449997
2023-12-16,17,腊瘤,浅仿,826.542427
2023-12-16,18,腊瘤,浅仿,838.553702
2023-12-16,19,腊瘤,浅仿,865.931932
2023-12-16,20,腊瘤,浅仿,847.210238
2023-12-16,21,腊瘤,浅仿,834.060393
2023-12-16,22,腊瘤,浅仿,815.62873
2023-12-16,23,腊瘤,浅仿,818.804628
2023-12-16,24,腊瘤,浅仿,839.089729
2023-12-17,1,腊瘤,浅仿,828.909334
2023-12-17,2,腊瘤,浅仿,829.107594
2023-12-17,3,腊瘤,浅仿,819.266646
2023-12-17,4,腊瘤,浅仿,838.962711
2023-12-17,5,腊瘤,浅仿,820.767779
2023-12-17,6,腊瘤,浅仿,777.712675
2023-12-17,7,腊瘤,浅仿,703.906573
2023-12-17,8,腊瘤,浅仿,626.904762
2023-12-17,9,腊瘤,浅仿,555.977921
2023-12-17,10,腊瘤,浅仿,631.047938
2023-12-17,11,腊瘤,浅仿,648.402381
2023-12-17,12,腊瘤,浅仿,606.963405
2023-12-17,13,腊瘤,浅仿,560.076564
2023-12-17,14,腊瘤,浅仿,512.961398
2023-12-17,15,腊瘤,浅仿,455.181034
2023-12-17,16,腊瘤,浅仿,414.167109
2023-12-17,17,腊瘤,浅仿,411.03488
2023-12-17,18,腊瘤,浅仿,426.600289
2023-12-17,19,腊瘤,浅仿,442.638724
