날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2024-02-15,6.086,2.543,6.161,7.946,2.885,1.632,1.217,1.95,3.191,3.273,56.732,156.937,241.093,254.582,250.172,240.071,236.514,237.468,222.48,215.41,244.433,235.484,229.661,232.21
2024-02-16,210.852,206.712,180.804,147.703,134.441,105.46,88.336,61.065,24.01,14.348,14.534,11.889,13.95,15.068,17.5,11.418,9.323,5.546,2.215,0.516,0.57,0.837,1.486,1.371
2024-02-17,0.81,0.181,0.23,0.493,1.578,4.433,10.459,8.641,9.011,3.156,6.986,7.164,9.809,10.745,24.254,43.462,47.589,43.112,34.109,21.624,40.516,48.832,47.738,66.332
2024-02-18,109.834,86.39,88.112,84.692,71.774,66.78,74.068,101.71,111.477,116.557,105.959,109.032,114.637,167.182,161.964,175.792,188.495,177.681,205.391,200.443,194.388,177.66,157.073,187.932
2024-02-19,183.725,147.41,174.122,175.861,172.856,159.056,148.543,145.001,111.926,83.531,77.076,49.976,42.539,40.2,34.468,17.557,32.784,112.452,158.67,180.51,127.358,75.708,33.164,67.635
2024-02-20,113.491,143.379,98.558,62.022,51.37,56.395,39.499,19.286,24.125,36.768,18.573,10.645,13.753,14.805,8.506,42.38,69.582,88.488,97.173,101.021,95.884,115.519,111.99,102.378
2024-02-21,114.853,103.957,101.982,105.981,96.123,95.233,77.203,71.105,95.616,89.707,48.845,37.753,82.595,57.199,34.667,50.389,83.382,76.851,70.487,65.43,72.913,59.4,53.475,49.224
2024-02-22,62.873,68.37,83.148,91.9,113.639,147.478,160.942,173.004,151.167,147.057,150.044,145.427,147.769,142.531,148.575,142.632,130.076,129.321,131.439,136.725,112.481,101.013,89.71,105.781
2024-02-23,115.467,120.663,106.182,100.617,85.977,84.238,107.994,103.01,104.583,99.785,92.217,90.963,90.991,78.499,73.61,66.422,55.983,66.016,59.773,59.419,88.463,104.196,119.085,128.354
2024-02-24,103.974,97.771,97.314,101.163,101.375,108.118,118.031,116.612,118.781,100.63,95.776,85.259,91.142,71.965,57.594,58.583,52.752,57.296,57.122,49.702,63.316,59.009,45.338,40.808
2024-02-25,41.701,43.368,60.789,116.594,124.009,123.118,126.26,130.765,109.79,119.78,132.941,107.911,94.895,104.956,106.802,97.883,129.065,128.259,139.153,142.37,135.192,113.012,88.632,89.176
2024-02-26,129.757,94.596,56.54,50.39,66.703,87.517,110.715,115.146,101.805,99.099,99.726,80.652,62.817,47.895,42.094,48.49,38.265,33.869,24.738,21.859,18.223,25.503,25.807,9.941
2024-02-27,17.714,21.279,20.214,20.046,22.609,35.911,44.764,51.414,87.725,97.61,115.369,105.455,108.017,121.275,109.417,107.978,88.907,79.635,73.254,54.847,48.232,50.151,46.328,39.643
2024-02-28,31.995,31.521,39.224,34.331,33.49,29.547,35.533,33.125,41.98,40.686,40.411,65.624,121.654,141.854,111.471,85.319,58.367,38.535,28.585,33.462,42.487,55.189,63.663,58.597
